,s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,notes,pl,si,va,te,co,or,sh,po,li,ar,re,sp,ma,ki,rf,tx
120,122,Vong Phaophanit,Neon Rice Field,conceptual,Tate ,Laos,False,installation,"installation, rice & neon tubes",1500 x 500 cm,1993,"material is rice which creates a degree of uncertainty, with rice as neat undulating waves, neon tubes creating lines",4,0,4,3,0,0,2,0,5,5,3,5,False,False,False,False
121,123,Pablo Picasso,Guernica ,cubism,Museo Reina Sofía,Spain,False,painting,"painting, oil on canvas",349 x 777 cm,1937,"collage of fragments, representational w/ distortions, light on dark, ground & figures align, pain shown on faces, representational but overall hard to decipher, only small parts are shown",2,0,1,0,0,0,5,0,5,5,5,3,False,False,False,False
122,124,Georges Braque,Still Life with Banderillas,cubism,Met also Tate,Spain,True,painting,"painting, oil & charcoal with sand on canvas",65 x 55 cm,1911,"juxtaposition of parts of still life split into planar elements, fractured objects, parallel paint marks, cut up & collaged back together",4,0,3,4,0,4,4,0,5,3,3,3,False,False,False,True
123,125,John Piper,Seaton Delaval ,representation,Tate,UK,False,painting,"painting, oil paint on canvas on wood",71 x 88 cm,1941,"dark, outlined buildings, indeterminate space, scratching on surface, searching, querying use of line",0,0,5,3,0,1,3,0,5,5,5,0,False,False,False,False
124,126,Steven Pippin,Bath Tub Converted into a Pin-Hole Camera ,,Tate,UK,False,photography,"photo, 21 photographs, black & white, on paper on board",65 x 116 cm,1984,"multiple sheets of light sensitive paper, made w/ bathtub converted to pinhole camera, exploring optics, inventions making cameras, magic of machines, resulting image is hard to comprehend where things are in space",2,1,2,0,0,4,4,0,5,5,5,3,False,False,False,False
125,127,Sigmar Polke,Untitled (Square 2),,Tate,Germany,False,painting,"painting, gold paint, oil & acrylic paint on canvas",200 x 190 x 2 cm,2003,"combination of different images, pouring, stenciling, dynamic tension bet expressive gesture & mechanical reproduction, printed images, dots & painterly marks, overlaying, multiple orientations, unusual materials",4,0,1,2,0,2,4,5,5,5,3,3,False,False,False,False
126,128,Jackson Pollock,Yellow Islands,abstract expressionism,Tate,America,False,painting,"painting, oil on canvas",144 x 185 cm,1952,"overlapping, dripping paint, gravity & different paint thicknesses, painting on the ground from all sides, not touching the canvas, ambiguity, some hesitancy",3,0,0,2,0,4,4,0,5,5,0,3,False,False,False,False
127,129,Larry Poons,Out,,Tate,America,False,painting,"painting, acrylic on canvas",198 x 519 cm,1967,"marks close to being line & almost dots, repeated in indeterminate space, partly see-through, spatial depth in use of fading out paint, repeated marks",4,0,4,1,0,3,1,3,3,5,0,3,False,False,False,False
128,130,Nicholas Pope,Liar Liar ,,Tate,Australia,False,sculpture,"sculpture, 15 unglazed ceramic forms",dimensions variable,2009,"repeated volumes, weird, are these abstract or are they repeated mute 'figures'",0,0,1,1,0,0,5,0,0,5,0,5,False,False,False,False
129,131,Liliana Porter ,Wrinkle ,,Tate,Argentina,False,print,"print, one of 10 photo-etchings on paper",22 x 29 cm,1968,"emptiness, hyperreal scrunched material, pixelated/dotted empty ground",3,0,3,4,0,0,4,5,3,5,5,3,False,False,False,False
130,132,Douglas Portway,White Screen ,,Tate,South Africa,False,painting,"painting, oil on canvas",102 x 127 cm,1971,"suggested space created w/ lighter geometric shape, lines, different space of shadow & ground, uneasy space",3,0,2,2,0,1,4,0,3,5,0,3,False,False,False,False
131,133,R.H. Quaytman,Chapter 12: iamb,conceptual,File Magazine also Tate,America,False,painting,"painting, silkscreen, gesso on wood",51 x 82 cm,2008,"repeated parallel lines vertical & horizontal, dots where they cross, subtly uneven background, grid, spatial ambiguity, optical illusion",4,4,3,0,0,3,0,0,5,5,0,3,False,False,False,False
132,134,Ged Quinn,Cross in the Wilderness ,surrealism,Tate,UK,False,painting,"painting, oil on canvas",267 x 183 x 3 cm,2004,"relative size of objects out of balance, different scales/sizes, surrealist, dark tones, strange combinations",3,4,4,0,0,0,3,0,3,5,5,3,False,False,False,False
133,135,Fiona Rae,Untitled (emergency room),abstraction,Tate,UK,False,painting,"painting, oil & acrylic on canvas",213 x 198 x 4 cm,1996,"overlayering of patterns, smudging, interdeterminate space, different sizes, mix of shapes & sqiggley ground partly overlapping",3,2,0,4,0,4,1,3,3,5,0,3,False,False,False,False
134,136,Arnulf Rainer,Untitled (Death Mask),abstraction,Tate,Austria,False,drawing,"drawing, oil pastel & photograph on paper",59 x 43 cm,1978,"curved overlayered lines drawn over photo, lack of definite edges, multiple looping lines to define an edge, unclear where the edge is",4,0,1,3,0,4,4,0,5,0,5,0,False,False,False,False
135,137,Robert Rauschenberg,Water Stop ,,Tate,America,True,print,"print, lithograph on paper",138 x 81 cm,1968,"combination of different images, different ways up, some overlaying, not defined edges, range of values",4,0,3,3,0,4,4,0,0,5,5,3,False,False,False,True
136,138,Isabel Rawsthorne,View through a Window II ,,Tate,UK,False,painting,"painting, oil on canvas",94 x 175 cm,1967,"smudged, smeared paint, can't entirely work out the space & what this is",0,0,1,4,0,1,4,0,5,5,3,0,False,False,False,False
137,139,Charles Ray,Plank Piece I-II ,,Tate,America,False,photography,"photo, 2 photographs, black & white, on paper on board",Each (x 2) 109 x 56 x 5 cm,1973,"performer pinned by plank, suspended on wall, balancing",5,0,0,0,0,3,3,0,3,5,5,0,False,False,False,False
138,140,Judit Reigl,Center of Dominance,, judit-reigl.com also Tate,Hungary,False,painting,"painting, oil on canvas",190 x 220 cm,1958,"thick textural lines, swirl in space, empty space, indeterminate depth, sense of circular movement, different length lines",3,3,1,4,0,4,3,0,5,5,0,3,False,False,False,False
139,141,Ad Reinhardt,Abstract Painting No. 5 ,abstract expressionism,Tate,America,False,painting,"painting, oil on canvas",152 x 152 cm,1962,"is this all black or are there any shapes or layers underneath? way dark color is painted, sense of depth. display caption says ""underlying grid of different coloured squares divided by a green central horizontal band""",0,0,5,2,0,0,3,0,0,5,0,3,False,False,False,False
140,142,Rosângela Rennó,Experiencing Cinema,,Tate,Brazil,False,installation,"installation, video, projection, color & smoke machine",Each DVD (x 4) 21 min  ,2005,"image ephemeral, projects image onto smoke so they appear & disappear",2,0,4,4,0,0,3,0,0,5,5,5,False,True,False,False
141,143,Gerhard Richter,"Self Portrait Standing, Three Times, 17.3.1991",,Tate,Germany,False,painting,"painting, 6 photographs, gelatin silver print on paper with oil paint",Each (x 6) 50 x 56 cm,1991,"repetition of 6 photos w/ different amounts of paint across, partly seeing-through - seriality & increasing cover of paint, try to see the studio/artist but hard to tell - covering up",4,0,0,3,0,0,4,0,0,5,5,3,False,False,False,False
142,144,Gerhard Richter,Abstract Painting (726),,Tate,Germany,False,painting,"painting, oil on canvas",251 x 351 x 4 cm,1990,"smeared paint across canvas, spatial effects, illusive, depth, complex, what is this",0,0,1,5,0,0,3,0,5,5,0,3,False,False,False,False
143,145,Bridget Riley,Fall ,op art,Tate,UK,False,painting,"painting, polyvinyl acetate paint on hardboard",141 x 140 cm,1963,"parallel curved lines to create undulations, field of varying optical frequencies",4,2,3,0,0,4,4,0,5,0,0,3,False,False,False,False
144,146,Jean-Paul Riopelle,Suite Montmorency,abstraction,levadrouilleururbain also Tate,Canada,False,print,"print, lithograph",117 x 158 cm,1972,"repeated dots and lines and marks, layered, different orientations & sections & unclear space & unclear what is below the marks",4,3,1,2,0,3,3,3,5,5,0,0,False,False,False,False
145,147,Rita Donagh,Long Meadow,,Tate,UK,True,painting,"painting, oil on canvas",152 x 152 cm,1982,"thin semi-transparent washes of paint, outlines of letters, upper layer of space w/ depth going down & back, lightly drawn multiple layers, H block prison blocks, weight of 'H's floating on atmosphere",3,0,4,4,0,4,4,0,5,5,3,3,False,False,False,True
146,148,Franz Roh,Masks Survive ,collage,Tate,Germany,False,print,"print, lineblock prints & halftone prints on paper mounted onto paper",32 x 23 cm,c.1938,"collage of photo & illustration fragments in empty setting, partly representational, tribal mask & gas mask, magic realism, representational but what are the elements / combinations & what do they mean?",4,0,1,1,0,0,5,0,0,5,3,3,False,False,False,False
147,149,James Rosenquist,Sunglasses - Landing Net - Triangle,pop art,Tate,America,False,print,"print, etching, drypoint & aquatint on paper",45 x 90 cm,1974,"3 items in line differently handled w/ rotating textural lines around central shape, uses both line and area, hard to tell what this is",2,0,1,4,0,2,4,0,5,5,3,3,False,False,False,False
148,150,Leonard Rosoman,Bomb Falling into Water ,representation,Tate,UK,False,painting,"painting, oil on canvas",64 x 76 cm,1942,"energetic paint handling, composition divided by light areas, layers creating space, hard to tell what this is",4,1,4,3,0,2,3,5,3,5,5,3,False,False,False,False
149,151,Dieter Roth,Self-Portrait as a Flower Pot,,Tate,Germany,False,print,"print, lithograph on paper",76 x 99 cm,1971,"overlapping light lines to create shape, empty space, searching line, no edges, very light, ethereal",2,0,4,2,1,3,4,0,5,0,5,3,False,False,False,False
150,152,Dieter Roth,Untitled,,Hauser & Wirth Gallery (also Tate),Germany,True,sculpture,"sculpture, toys, sweets, trinkets, printed matter, painting utensils, adhesive tape, tools, refuse, strips of wood & metal, glue on corrugated cardboard. Sour milk, fruit juice, cocoa, dead insects in plastic tubes, in wooden frame with openings for pouring in liquids",220 x 230 x 25 cm,1974,"assemblage of objects & refuse w/ glue & sour milk etc in plastic tubes, w/ openings for pouring in liquids, wide unconventional use of materials often decomposing eg chocolate, dirt, glue, food: rotting. What is this?",1,0,1,4,0,1,3,0,5,5,3,5,False,False,False,True
151,153,Mark Rothko,Untitled ,abstract expressionism,MoMA also Tate,America,False,painting,"painting, watercolor & gouache on paper",55 x 76 cm,1945,"painted lines & shapes semi-abstract, surreal, probably scratching into surface, searching line, suggested deep space in his work in general, murky edges of shapes",4,0,1,2,0,0,4,3,5,5,0,3,False,False,False,False
152,154,Felix Rozen,[no title] ,,Tate,Russia / France,True,print,"print, screenprint on paper",34 x 60 cm,1981,"notation & seriality along thin strips, repetition & different lines, sense of movement, related to language & alphabets & music composition, multiple lines of notations",3,0,1,0,0,3,4,5,5,0,3,0,False,False,False,True
153,155,Sterling Ruby,(Mapping) Maybelline ® Wet Shine Cherry Rain,,Foxy Production (also Tate),America,False,painting,"painting, nail polish & sharpie pen on card",81 x 102 cm,2006,"combination of poured lines & geometric thin lines w/ splattered points, empty space, gooey materials, dripping, 2 kinds of drawing space in nail polish",2,0,0,3,0,3,4,3,5,0,0,3,False,False,False,False
154,156,Ed Ruscha,Untitled,conceptual,Gagosian also Tate,America,True,painting,"painting, acrylic on canvas",183 ÌÑ 315 cm,2015,"size of words reducing in size and fading, bright light from bottom right,  countdown aspect to painting as well as range in size & value",2,5,3,1,0,0,3,0,5,5,3,3,False,False,False,True
155,157,Ed Ruscha ,maquette for Every Building on the Sunset Strip,conceptual,Getty also Tate,America,True,photography,"photo, gelatin silver prints & labels on board with annotations",book: 24-foot-long ,1966,"serial images of street buildings, in rows w/ opposite side of street upside down, use of right way up & upside down, as if reflection",3,2,2,1,0,4,3,0,0,5,5,3,False,False,False,True
156,158,Robert Ryman,Document ,conceptual,Pace Gallery (also Tate),America,False,painting,"painting, oil on canvas",198 x 198 cm,2002,"repeated curved lines overlaying, textural paint marks; work nearly always explores white & repetition",1,0,2,3,0,4,1,0,5,5,0,0,False,False,False,False
157,159,Doris Salcedo,Disremembered I,conceptual, mcachicago.org (also Tate),Colombia,False,sculpture,"sculpture, sewing needles & silk thread",89 ÌÑ 55 ÌÑ 16 cm,2014,"repetition of numerous needles in rows to create fragile, suspended surface, fragility, suspended, gravity, is it sharp, will clothing fall apart?",3,4,0,4,0,4,3,0,5,0,5,5,False,False,False,False
158,160,Lucas Samaras,Chair Transformation #7,,Met also Tate,Greece / America,False,sculpture,"sculpture, plastered cloth on wire",83 x 54 x 45 cm,1970,"wobbly, textural lines to form furniture which should hold weight, often uses distortion, here chair is not as expected; pushes the boundaries of physical & psychological transformation",0,0,0,3,0,1,5,0,5,0,5,5,False,False,False,False
159,161,Mira Schendel,Perforated V (Perfurados V) ,modernism,MoMA also Tate,Brazil,False,drawing,"drawing, perforated paper",32 x 32 cm,c.1970s,"repetition of points in specific area out from vertical line, empty space, perforated paper - these are holes in the paper, uncertainty from the placement",5,2,0,0,0,0,0,5,0,0,0,3,False,False,False,False
160,162,Kurt Schwitters,Merzbau,dada,Tate,Germany,False,installation,"installation, mixed media",8 rooms,1933,"internal architecture w/ complex wall surfaces which create hard to read spaces & surfaces, multi-room installation, hard to know where the walls & ceiling are, disorientating",4,0,0,0,0,3,4,0,0,5,3,5,False,False,False,False
161,163,Richard Serra,2-2-1: To Dickie and Tina ,minimalism,Tate,America,False,sculpture,"sculpture, lead",132 x 349 x 132 cm,1969,"balance, weight, leaning, interesting since the metal plates are so heavy but the balance & leaning conveys uncertainty",5,4,0,3,0,4,3,0,0,5,0,5,False,False,False,False
162,164,Cindy Sherman,Untitled Film Still #48 ,conceptual,Tate,America,False,photography,"photo, photograph, gelatin silver print on paper",71 x 96 cm,1979,"figure on empty road w/ suitcase, b & w, space & emptiness, photographs fictitious characters in scenarios - here resembling moments in a film, solitary",4,1,1,1,0,0,4,0,0,5,5,3,False,False,False,False
163,165,Shozo Shimamoto,Untitled ,gutai,De Buck Gallery also Tate,Japan,False,painting,"painting, acrylic & newspaper","        
50 x 72 cm",2010,"dripping paint thro' holes, movement, empty space, what is behind the paper/canvas?",4,0,0,3,0,3,0,5,5,0,0,3,False,False,False,False
164,166,Robert Smithson,Asphalt Rundown ,land art,wikiart.org also Tate,America,False,installation,"installation, asphalt, hillside",hill size,1969,"asphalt poured down hill, movement & gravity, action of materials asphalt pouring down hillside",4,3,0,3,0,1,0,0,0,5,5,5,False,True,False,False
165,167,Robert Smithson,Partially Buried Woodshe,land art,wikiart.org also Tate,America,False,installation,"installation, earth, shed",shed building size,1970,"earth piled on top of shed engulfing it, action of materials - earth weight on building",4,4,0,4,0,0,1,0,0,5,5,5,False,False,False,False
166,168,Monika Sosnowska,"The Tired Room, Freud Museum, Vienna, Austria",,Capitain Petzel Gallery also Tate,Poland,False,installation,"installation, mixed media",room installation,2005,"created room installation w/ angular, slanted walls & surfaces, disorienting",2,0,0,0,0,4,4,0,0,5,5,5,False,False,False,False
167,169,Jesús Rafael Soto,Houston Penetrable,kinetic art,perrotin.com also Tate,Venezuela,False,installation,"installation, 24,000 PVC tubes",two stories high,2004,"24,000 PVC tubes, hand-painted & suspended, as much of his work, changes as you move in & around it, change of color so that elipse seems to float, can walk into piece, movement of viewer",2,2,4,2,4,0,1,0,5,3,0,5,False,False,False,False
168,170,Stanley Spencer,"The Resurrection, Cookham ",representation,Tate,UK,False,painting,"painting, oil on canvas",274 x 549 cm,1927,"strange perspective & odd viewpoints, scale shifts, figures depicted coming out of coffins",4,0,0,0,0,4,4,0,0,5,5,3,False,False,False,False
169,171,Daniel Spoerri ,"La table du Clown Bar, Paris,",assemblage,artnet.com also Tate,Switzerland,False,sculpture,"sculpture, mixed media",100 x 55 x 107 cm,1996,"assemblage, table w/ objects tipped on side, wrote ""Anecdoted Topography of Chance""; this piece uses orientation, objects should fall off",1,0,0,0,0,5,2,0,0,5,5,5,False,False,False,False
170,172,Ian Stephenson,Flaxman: Understudy,abstraction,Tate,UK,False,painting,"painting, oil, enamel & paper on paper",56 x 76 cm,1972,"splattering overlaying of paint droplets, placement matters, confining area matters, empty space, & tiny size of paint droplets is essential. Raised rectangle, irregularity creates an uncertainty of space, emptiness, what is there / not there, how this has been done",5,5,2,2,1,0,2,5,0,3,0,3,False,False,False,False
171,173,Do Ho Suh,Karma Juggler,,Lehmann Maupin Gallery also Tate,Korea,True,drawing,"drawing, thread embedded in cotton paper",230 x 322 x 8 cm,2015,"suggested movement through parallel curved lines w/ words, made by embedding thread in cotton paper; shape & fading out & use of materials",3,2,0,4,0,2,4,0,5,0,0,3,False,False,False,True
172,174,Graham Sutherland ,Entrance to a Lane ,,Tate,UK,False,painting,painting oil on canvas,61 x 51 cm,1939,"spaces created w/ dark shapes, specific, odd, particular, curved semi-abstract shapes, ambiguity, specific colors",3,1,3,0,2,0,4,3,5,5,5,3,False,False,False,False
173,175,Yves Tanguy,The Mood of Now ,surrealism,MoMA also Tate,France,False,painting,painting oil on canvas,100 x 73 cm,1928,"out of focus ground w/ hard to decipher shapes on top, mixture of sharp focus & smeared, shadow, some objects more in focus than others",3,1,2,3,0,0,4,0,3,5,3,3,False,False,False,False
174,176,Antoni Tapies,Pasted Cloth ,,Tate,Spain,True,print,"print, fabric on etching on paper",63 x 91 cm,1905-05,"sense of material, dark colors & white rectangle w/ lettering/notations, use of materials, matter, Tachisme, collage, fabric on print",2,0,4,3,1,0,4,0,3,5,0,0,False,False,False,True
175,177,Jean Tinguely,Chaos I,kinetic art,Tate,Switzerland,False,print,"print, etching on paper",35 x 48 cm,1972,"arrows, suggested movement, off-balance, space, moving machines, rickety",4,0,0,0,0,4,4,0,5,0,5,3,False,False,False,False
176,178,Mark Tobey,Northwest Drift,abstraction,Tate,America,False,painting,"painting, tempera & gouache on paper on board",114 x 91 cm ,1958,"overlaying of small similar paint marks on surface, repetition, composed of multiple small & interwoven brush strokes",3,3,4,3,1,4,4,0,5,5,0,0,False,False,False,False
177,179,Alison Turnbull,Ecliptic,,alison-turnbull.com also Tate,UK,False,painting,"painting, oil, acrylic & silverpoint on canvas",150 x 230 cm,2013,"repetition & seriality, drawing circumscribed w/in 2 rectangles, different sizes of dots, some joined by open lines, 2 rectangles, light",2,4,4,0,1,3,0,5,5,0,0,3,False,False,False,False
178,180,Richard Tuttle ,10th Wire Piece,postminimal,Pulitzer Gallery also Tate,America,False,sculpture,"sculpture, florist wire, nails & graphite",installation dimensions variable,1972,"wire attached to wall at top, drawn shape with pencil on wall, released to find own gravity, shadow, what is this, how is it made, minimal & craft, unusual materials, lightweight line",4,0,4,2,0,3,4,0,5,0,0,5,False,False,False,False
179,181,Richard Tuttle ,"Dawn, Noon, Dusk: Paper (1)",postminimal,MoMA,America,False,drawing,"drawing, watermarked sheet of handmade paper w/ pigment additions, mounted on colored paper in handpainted wooden frame",35 x 40 cm each (suite of 3),2001-03,"limited use of lines, breaks in line, meandering, relation of lines to each other, lightly checkered diamonds on ground, indeterminate space",4,0,2,2,1,2,4,0,5,3,0,5,False,False,False,False
180,182,Luc Tuymans,Untitled (The Barge),conceptual,MoMA also Tate,Belgium,False,painting,"painting, watercolor on paper",33 x 22 cm,1979,"washy paint, solid edges, predominant white circle, hard to tell what this is, uses washed out color & simplified shapes",2,0,3,3,0,2,4,0,3,5,3,3,False,False,False,False
181,183,Cy Twombly,Academy ,,MoMA also Tate,America,True,painting,"painting, oil-based house paint, lead pencil, colored pencil, & pastel on canvas",191 x 241 cm,1955,"searching, repeated, markmaking, allover, layering, use of letters, words, urgently drawn, erasure, obscuring lines, layers, calligraphic",2,0,3,2,0,1,4,0,5,0,0,3,False,False,False,True
182,184,Adriana Varejão,Folds 2,,Guggenheim also Tate,Brazil,False,painting,"painting, oil on canvas over aluminum, mounted to wood w/ oil painted polyurethane",241 x 230 x 40 cm,2003,"combination of 2 different elements, textural, spiky poking thro' squared paper ground, hard to tell what this is, materials, plays w/ depth & suggestion",2,0,0,3,2,0,4,0,3,5,3,5,False,False,False,False
183,185,Victor Vasarely,Vega ,op art,Wide Walls also Tate,Hungary ,False,painting,"painting, acrylic on canvas",195 x 130 cm,1957,"morphs surface using repeated b&w tile shapes, surface doesn't look flat",3,1,2,0,0,2,4,0,0,5,0,3,False,False,False,False
184,186,Vladimir Velickovic,Elements and Documents Employed ,representation,Tate,Serbia,True,print,"print, screenprint on paper",75 x 108 cm,1979,"use of arrows, diagrammatic layout, annotated, quasi-scientific drawing",4,1,0,1,0,1,4,0,5,3,5,0,False,False,False,True
185,187,Didier Vermeiren,Solide plastique #4,conceptual,xavierhufkens.com and also Tate,Belgium,False,sculpture,"sculpture, porcelain, enamel & wood",24 x 63 x 54 cm,1999,"3 distinct materials, porcelain, enamel & wood, semi-abstract, hard to tell what this is",2,1,0,3,1,1,4,0,3,5,0,5,False,False,False,False
186,188,Luigi Veronesi,Photo n.152,,Tate,Italy,False,photography,"photo, photograph, gelatin silver print on paper",32 x 30 mm,1940,"multiple points & line, slow shot to give blurring & suggest movement, space, semi-transparency, experimental, also filmaker; suggestive of movement, semi-transparent, what is the object",1,0,5,0,0,1,2,5,5,3,0,3,False,False,False,False
187,189,Jeff Wall,A Sudden Gust of Wind (after Hokusai) ,conceptual,Tate,Canada,False,photography,"photo, transparency on lightbox",250 x 397 x 34 cm,1993,"blown paper indicates wind, moving figures & paper, magic of paper blowing, depth of landscape, what's going on, effect of wind - staged, transparency on lightbox",5,2,0,0,0,1,2,3,3,5,5,3,False,False,False,False
188,190,Alfred Wallis,The Hold House Port Mear Square Island Port Mear Beach,,Tate,UK,False,painting,"painting, oil paint on board",31 x 39 cm,c.1932?,"perspective tipped up, scale shifts, topographically inaccurate, placing of elements & unusual space",2,1,0,0,0,4,3,0,3,5,5,3,False,False,False,False
189,191,Andy Warhol,"Shadows, detail",pop art,Dia also Tate,America,False,painting,"painting, silkscreen & acrylic on canvas",193 x 132 cm each of 102 paintings - room size install,1979,"repetition of image w/ variation across the 102 paintings, 2 shadow images, silkscreen w/ paint, here detail view of 4 shadow paintings, hard to tell what this is",2,0,3,2,2,0,4,0,0,5,0,3,False,False,False,False
190,192,Andy Warhol,Double Torso,pop art,Mutual Art also in Tate,America,False,painting,"painting, fluorescent silkscreen inks on canvas",111 x 202 cm,1966,"use of paint which only shows under UV light - bottom image is same as top one but under UV light, created w/ fluorescent silkscreen inks on canvas",1,0,5,0,0,0,1,0,0,5,5,0,False,False,False,False
191,193,Boyd Webb,First Principles,conceptual,Tate,New Zealand,False,photography,"photo, photograph, color, Cibachrome print, on paper mounted onto board",149 x 121 cm,1984,"collage of objects of different sizes, displacementÛª & a lack of context, hard to tell what this is",2,4,0,1,0,2,4,3,3,5,3,3,False,False,False,False
192,194,John Wells,Abstract,abstraction,Tate,UK,False,print,"print, lithograph on paper",32 x 41 mm,1952,"semi-transparent areas, overlaid shapes in space which are grainy, scratched & partly see-through",1,0,4,4,0,0,3,0,5,5,0,3,False,False,False,False
193,195,Lionel Wendt,[title not known],,Tate,Sri Lanka,False,photography,"photo, photograph, gelatin silver print on paper",38 x 26 mm,c.1938,"dark areas, combination of difference scales, semi-Surrealistm hard to tell what this is, evocative, rich darks",2,3,3,1,0,0,4,0,0,5,3,3,False,False,False,False
194,196,Richard Wentworth,"35°9,32°18",conceptual,Tate,UK,False,sculpture,"sculpture, steel & aluminium",413 x 113 x 127 cm,1985,"ladder seemingly made out of material, reflection on wall made of cable - bending, alters everyday objects so that they look strange / here steel ladder & 2nd cable ladder",0,0,0,3,0,5,3,0,5,0,5,5,False,False,False,False
195,197,Franz West ,Sisyphos IV,conceptual,Gagosian also Tate,,False,sculpture,"sculpture, papier-machÌ©, styrofoam, cardboard, lacquer & acrylic",145 ÌÑ 115 ÌÑ 105 cm,2002,"painted 'rock', what is it, what is it resting on, is it heavy or light?",2,0,4,4,1,0,2,0,0,5,5,5,False,False,False,False
196,198,James Abbott McNeill Whistler,Nocturne: Blue and Silver - Cremorne Lights,representation,Tate,UK,False,painting,"painting, oil paint on canvas",50 x 74 cm,1872,"emptiness, hard to read shape in river, high horizon, sense of depth, use of color",2,0,4,3,4,0,4,3,3,5,5,3,False,False,False,False
197,199,Rachel Whiteread,House,conceptual,Tate,UK,False,installation,"installation, concrete",house size,1993,"public space, cast inside of house & removed the walls - strange effect, house you can't enter, inside walls shown on outside",2,2,2,3,0,0,4,0,0,5,5,5,False,False,False,False
198,200,Alison Wilding,Untitled ,conceptual,Tate,UK,False,drawing,"drawing, charcoal & crayon on paper",37 x 54 cm,1990,"repetition of verticals, markmaking, smudges, empty space, repeated marks, what is the shape",1,0,4,4,0,1,4,3,5,3,0,0,False,False,False,False
199,201,Terry Winters,Parallel Rendering 2,,Tate,America,False,painting,"painting, oil & alkyd resin on canvas",244 x 320 cm,1997,"overlaying criss-crossed textured lines, depth, lines on top of each other at angles, mesh, systems & space",3,4,2,2,1,3,4,0,5,0,0,3,False,False,False,False
200,202,Wols (Alfred Otto Wolfgang Schulze),[no title],abstraction,Tate,German,False,print,"print, etching & drypoint on paper",11 x 7 cm,c.1937-50,"markmaking, agitated drawing lines, crossing over each other, obsessive quality, searching, overlaying",1,1,4,4,0,4,4,3,5,0,0,3,False,False,False,False
201,203,Francesca Woodman,"Untitled, Providence, Rhode Island",,Victoria Miro Gallery also Tate,America,False,photography,"photo, photograph, gelatin silver print on paper",20 x 25 cm,1976,"trace of figure against part of actual figure, empty space, mysterious, what is suggested, slightly magical",4,0,4,2,0,0,4,0,0,5,5,0,False,False,False,False
202,204,Christopher Wool ,Untitled,abstraction,luhringaugustine.com also Tate,America,False,painting,"painting, silkscreen ink on linen",244 x 183 cm,2009,"repetition, partial images, empty spaces, semi-transparent layers w/ parts overlayed - sense of multiples",4,0,3,3,2,1,4,3,3,5,0,3,False,False,False,False
203,205,Cerith Wyn Evans,Inverse Reverse Perverse,conceptual,Tate,Wales,False,sculpture,"sculpture, perspex & acrylic",171 x 171 x 32 cm,1996,"distortion, use of convex mirror / invert reflection",0,0,0,0,0,5,2,0,0,5,5,5,False,False,False,False
204,206,Catherine Yass,Stage,conceptual,Tate,UK,False,print,"print, screenprint on paper",89 x 74 cm,1997,"looking up, strange color effects, not totally representational",0,0,3,3,5,2,0,3,5,5,5,3,False,False,False,False
205,207,Carey Young,"Body Techniques (after Parallel Stress, Dennis Oppenheim,1970)",conceptual,Tate,Zambia,False,photography,"photo, photograph, color, on paper mounted onto aluminium",122 x 142 cm,2007,foreground figure on earth against deep space,4,3,0,0,0,0,4,3,3,5,5,3,False,False,False,False
206,208,Doug Wheeler,LC 71 NY DZ 13 DW,conceptual,David Zwirner Gallery,America,False,installation,"installation, reinforced fiberglass, flat white titanium dioxide latex, LED light, & DMX control",1958 x 2061 x 556 cm,2013,"lighting & shaped walls in minimal installation to create spatial effects on the eye, looks misty white as far as you can see, can't tell distance ahead of you, focusing attention on the way light almost imperceptibly changes along the horizon as the earth turns, very hard to understand space",0,1,5,1,1,1,3,0,0,5,5,5,False,False,False,False
207,209,Ricci Albenda,Panoramic Portal to Another Dimension (Deanna),conceptual,Andrew Kreps Gallery,America,False,installation,"installation, MDF & acrylic paint",549 x 366 cm,2007,"volumetric walls, creating shadows, allusions to space through bulging white walls",4,0,2,1,0,0,4,0,0,5,3,5,False,False,False,False
208,210,Kiripi Katembo,"Subir, série Un Regard",,"fondationcartier.com, BEAUTÉ CONGO 2015 exhibition",Congo,False,photography,"photo, lightjet print",60 x 90 cm,2011,"photos shot in puddles, upside down reflections, hard to grasp how the rocks & architecture work spatially - is this one of his shots into water showing reflections?",5,0,1,1,1,1,2,0,3,5,5,3,False,False,True,False
209,211,Nestor Da,"Untitled #38, Ondes de perturbation series",,"Galerie Cécile Fakhoury Abidjan — Ivory Coast, http://cecilefakhoury.com/",Ivory Coast,False,photography,"photo, archival pigment ink on fine art paper, mounted on dibond",60 x 90 cm,2012,"collage photo, hard to tell what this is exactly",4,1,1,4,0,0,4,5,0,5,3,0,False,False,False,False
210,212,Yo-Yo Gonthier,Maquette du nuage #1,,"Galerie Cécile Fakhoury Abidjan — Ivory Coast, http://cecilefakhoury.com/",Niger,False,photography,"photo, gelatin silver print",,2013,"shadow effect on volumes, suspended forms in center of photo, empty space around, hard to tell what this is, sense of space",3,0,4,3,0,0,4,3,0,5,0,3,False,False,False,False
211,213,François-Xavier Gbré,"Imprimerie nationale, Porto Novo, Benin",,"Galerie Cécile Fakhoury Abidjan — Ivory Coast, http://cecilefakhoury.com/",France / Ivory Coast,False,photography,"photo, archival pigment ink on fine art paper",,2012,"emptiness, acent of pink material, use of light accent on chair, against darkness, focus on composition",4,0,4,0,3,0,4,0,0,5,5,0,False,False,False,False
