,s_no,artist,title,art_movement,museum_venue,country_of_origin,has_text,primary_medium,medium,work_size,date,notes,pl,si,va,te,co,or,sh,po,li,ar,re,sp,ma,ki,rf,tx
383,385,Allan Kaprow ,Fluids,,Hauser and Wirth,America,False,installation,"installation, blocks of ice","900 cm long, 300 cm wide and 240 cm high",1967,"melting material, erodes away, movement, ice blocks forming large enclosures melting so literally uncertain",0,1,3,5,0,0,1,0,0,5,5,5,False,False,False,False
384,386,Charles Long,Untitled,,Tanya Bonakdar Gallery,America,False,sculpture,"sculpture, papier machÌ©, plaster, steel, acrylic, river sediment & debris",323 x 91 x 102 cm,2009,"juxtaposition of 2 kinds of lines, unclear how thin papier mache & river sediment line stands up, this line seems to almost describe water or ice, much taller than angular hard lines, particular shapes, difference of materials, framed w/ a lot of space",3,0,0,4,0,4,4,0,5,5,0,5,False,False,False,False
385,387,Jeff Koons,Balloon Dog,supports/surfaces,Jeff Koons website,America,False,sculpture,"sculpture, mirror-polished stainless steel w/ transparent color coating",307 x 363 x 114 cm,1994-2000,"steel made to resemble a balloon, play of balloon - light object - with steel and heaviness, huge size of sculpture, uncertain what weight this is / what it is made from",0,4,0,4,0,0,4,0,0,5,5,5,False,False,False,False
386,388,Joseph Mallord William Turner,"Norham Castle, Sunrise",,Tate Gallery,UK,False,painting,"painting, oil on canvas",91 x 122 cm ,c.1845,"light colors, no sharp edges, tones, colors meld into each other, lumiosity, uncertain where things are in space, light ethereal space, paint marks evident on surface of painting, closeup this looks more like abstract paint marks",0,0,4,4,3,0,1,0,0,5,5,3,False,False,False,False
387,389,Salvador Dalí ,The Persistence of Memory,surrealism,MoMA,Spain ,False,painting,"painting, oil on canvas",24 x 33 cm,1931,"""hand painted dream photographs,"" hard objects become inexplicably limp, time bends, metal attracts ants like rotting flesh, juxtaposition of objects in landscape, 3 limp clock faces, is that a head sleeping w/ long eyelashes",3,1,1,0,1,0,4,3,3,5,5,3,False,False,False,False
388,390,Jacques-André Boiffard,Untitled (Still Life),surrealism,artnet,France,False,photography,"photo, gelatin silver print","
28 x 24 cm",c.1930s,"isolated objects, comb standing on back w/ line shadow, objects in undefined space, hard to understand the space, odd viewpoint / angle, odd shadows, brighter oval lighted area, what is in the foreground",2,0,4,1,0,1,3,0,3,5,5,0,False,False,False,False
389,391,Takesada Matsutani ,Work 65-B-1,gutai,Hauser and Wirth,Japan,False,painting,"painting, polyvinyl acetate adhesive, acrylic & oil on canvas, mounted on plywood board",183 x 138 x 5 cm,1965,"vinyl glue creating wrinkles across the surface, paint made to look bulbous, bodylike, surface sags but in 2 directions down & small area to left, creates lines, bubbles, is paint sliding off surface",0,0,2,4,0,4,2,3,3,5,0,0,False,False,False,False
390,392,Rodney Graham,Main Street Tree,conceptual,Hauser and Wirth,Canada,True,photography,"photo,",229 x 185 x 5 cm,2006,"upside down photo of tree in front of karoke shop, tree large and slightly leaning, hard to get past that the image is upside down, feels like objects will fall down",1,1,0,0,0,5,1,0,3,5,5,5,False,False,False,True
391,393,Daniel Dezeuze,Le tableau serait-il un artefact parmi d’autres ?,supports/surfaces,Marseille-Méditerranée School of Art and Design ,France,False,installation,"installation, mixed media","wall installation, along one wall",c.1970s,"cleaning objects out of context, sticks w/ household objects, all with stick down & cleaning device up on wall, abject to some extent, are some made & some found? Several sticks are flimsy, bend, leant vertically against the wall, probably from gathering devices series",2,1,0,1,0,4,3,3,5,3,3,5,False,False,False,False
392,394,Pol Bury,"1,914 White Points",ZERO,MoMA,Belgium,False,sculpture,"sculpture, plastic-tipped nylon wires with wood panel & motor",100 x 50 x 12 cm,1964,"motor which very slowly moves plastic-tipped nylon wires sticking out in slight curves from board on wall, slowly vibrating movement, kinetic art, thin size of wires, interested in imperceptible movement",3,2,1,1,0,4,3,5,5,5,0,5,False,True,False,False
